Category,Total Images,Normal Images,Defective Images,Accuracy,Precision,Recall,F1 Score,ROC AUC
bottle,83,20,63,0.988,1.0,0.9841,0.992,1.0
cable,150,58,92,0.96,0.9674,0.9674,0.9674,0.9843
capsule,132,23,109,0.9621,0.9906,0.9633,0.9767,0.99
carpet,117,28,89,0.9573,1.0,0.9438,0.9711,0.9876
grid,78,21,57,0.9487,0.9818,0.9474,0.9643,0.9866
hazelnut,110,40,70,0.9909,1.0,0.9857,0.9928,1.0
leather,124,32,92,0.9919,1.0,0.9891,0.9945,1.0
metal_nut,115,22,93,0.9826,1.0,0.9785,0.9891,0.999
pill,167,26,141,0.9222,0.9776,0.9291,0.9527,0.9438
screw,160,41,119,0.9125,0.9412,0.9412,0.9412,0.9647
tile,117,33,84,0.9915,1.0,0.9881,0.994,1.0
toothbrush,42,12,30,0.9048,0.9062,0.9667,0.9355,0.9194
transistor,100,60,40,0.96,0.95,0.95,0.95,0.9912
wood,79,19,60,0.9367,0.9825,0.9333,0.9573,0.9833
zipper,151,32,119,0.9669,0.975,0.9832,0.9791,0.979
