Image,Width,Height,Brightness,Contrast,Sharpness
000_mask.png,224,224,27.77,78.78,646.26
001_mask.png,224,224,24.13,73.83,823.4
002_mask.png,224,224,39.62,91.58,951.5
003_mask.png,224,224,69.92,112.77,1460.94
004_mask.png,224,224,10.43,49.85,460.79
005_mask.png,224,224,10.45,49.86,443.92
006_mask.png,224,224,38.98,91.05,810.92
007_mask.png,224,224,41.23,93.07,930.66
008_mask.png,224,224,33.25,85.15,764.18
009_mask.png,224,224,22.31,71.37,628.03
010_mask.png,224,224,28.34,79.45,714.66
011_mask.png,224,224,19.06,66.37,644.26
012_mask.png,224,224,22.18,71.22,570.92
013_mask.png,224,224,34.41,86.35,857.58
014_mask.png,224,224,12.03,53.43,435.45
015_mask.png,224,224,23.82,73.57,596.37
016_mask.png,224,224,37.44,89.43,985.32
017_mask.png,224,224,35.91,87.94,882.34
018_mask.png,224,224,33.4,85.21,873.14
019_mask.png,224,224,32.18,83.9,829.84
000_mask.png,224,224,2.26,23.46,130.1
001_mask.png,224,224,3.77,30.1,275.03
002_mask.png,224,224,9.27,47.26,322.18
003_mask.png,224,224,20.56,68.66,689.61
004_mask.png,224,224,8.17,44.27,390.43
005_mask.png,224,224,3.86,30.65,223.29
006_mask.png,224,224,6.86,40.77,260.93
007_mask.png,224,224,5.37,36.07,251.77
008_mask.png,224,224,5.45,36.37,273.79
009_mask.png,224,224,6.01,38.22,231.45
010_mask.png,224,224,11.7,52.77,415.5
011_mask.png,224,224,4.91,34.48,262.64
012_mask.png,224,224,19.89,67.73,589.51
013_mask.png,224,224,8.25,44.55,316.02
014_mask.png,224,224,4.58,33.38,195.54
015_mask.png,224,224,4.25,32.09,256.59
016_mask.png,224,224,5.22,35.62,241.27
017_mask.png,224,224,6.42,39.45,245.67
018_mask.png,224,224,14.58,58.58,463.79
019_mask.png,224,224,7.12,41.53,292.11
020_mask.png,224,224,8.92,46.32,352.39
021_mask.png,224,224,4.72,33.87,212.56
000_mask.png,224,224,18.48,65.59,379.81
001_mask.png,224,224,18.3,65.35,438.06
002_mask.png,224,224,4.69,33.9,184.58
003_mask.png,224,224,6.71,40.33,245.66
004_mask.png,224,224,5.29,35.82,271.16
005_mask.png,224,224,31.34,83.24,535.33
006_mask.png,224,224,39.02,91.39,484.56
007_mask.png,224,224,14.18,57.55,702.73
008_mask.png,224,224,42.15,94.24,585.37
009_mask.png,224,224,35.14,87.49,465.11
010_mask.png,224,224,29.35,80.98,421.08
011_mask.png,224,224,38.02,90.41,474.96
012_mask.png,224,224,38.6,90.98,481.54
013_mask.png,224,224,13.01,55.6,285.4
014_mask.png,224,224,1.71,19.55,257.27
015_mask.png,224,224,10.63,50.11,548.47
016_mask.png,224,224,38.57,90.94,471.84
017_mask.png,224,224,21.26,69.75,649.84
018_mask.png,224,224,1.47,18.46,255.4
019_mask.png,224,224,8.5,45.32,291.89
020_mask.png,224,224,38.21,90.61,486.21
000.png,224,224,138.36,92.02,177.11
001.png,224,224,134.71,93.17,179.28
002.png,224,224,135.78,92.13,160.28
003.png,224,224,133.25,94.85,110.55
004.png,224,224,138.01,91.8,269.46
005.png,224,224,138.94,91.89,222.17
006.png,224,224,137.43,92.47,207.09
007.png,224,224,137.93,92.62,136.37
008.png,224,224,135.89,92.62,209.13
009.png,224,224,136.72,92.46,218.65
010.png,224,224,136.74,92.82,146.44
011.png,224,224,136.5,93.0,225.26
012.png,224,224,139.36,91.24,319.09
013.png,224,224,139.58,91.08,251.0
014.png,224,224,136.87,91.63,216.03
015.png,224,224,135.96,92.07,234.62
016.png,224,224,139.34,91.73,183.88
017.png,224,224,137.48,91.91,184.72
018.png,224,224,136.39,93.35,235.0
019.png,224,224,138.57,91.48,227.28
000.png,224,224,136.27,92.53,243.14
001.png,224,224,137.84,91.89,284.16
002.png,224,224,137.74,91.48,365.92
003.png,224,224,139.08,91.75,262.83
004.png,224,224,138.96,91.9,263.34
005.png,224,224,136.34,92.33,214.16
006.png,224,224,137.18,92.58,243.78
007.png,224,224,137.28,91.9,234.37
008.png,224,224,135.54,92.03,212.45
009.png,224,224,136.68,92.03,227.99
010.png,224,224,137.09,92.87,301.9
011.png,224,224,136.72,92.26,240.78
012.png,224,224,137.6,92.71,281.61
013.png,224,224,137.1,92.67,214.96
014.png,224,224,135.93,92.02,298.41
015.png,224,224,135.33,93.09,207.63
016.png,224,224,135.89,92.39,237.71
017.png,224,224,138.95,91.11,293.36
018.png,224,224,137.5,92.37,277.55
019.png,224,224,135.11,93.07,219.0
020.png,224,224,138.09,91.67,242.42
021.png,224,224,138.53,91.05,243.88
000.png,224,224,136.0,92.32,202.7
001.png,224,224,136.79,91.92,218.08
002.png,224,224,136.6,92.95,212.78
003.png,224,224,136.49,93.24,240.6
004.png,224,224,136.5,93.17,226.72
005.png,224,224,141.39,89.3,258.64
006.png,224,224,147.22,84.67,237.66
007.png,224,224,136.98,91.59,265.54
008.png,224,224,135.75,92.19,183.12
009.png,224,224,135.58,92.86,195.3
010.png,224,224,137.52,92.39,249.54
011.png,224,224,139.95,89.6,202.94
012.png,224,224,144.53,86.29,251.75
013.png,224,224,134.9,91.96,201.43
014.png,224,224,137.55,92.73,254.07
015.png,224,224,137.6,92.56,232.2
016.png,224,224,141.36,89.58,274.53
017.png,224,224,135.98,91.91,340.75
018.png,224,224,139.52,92.22,333.48
019.png,224,224,138.99,92.03,295.81
020.png,224,224,141.4,88.45,220.57
000.png,224,224,136.93,93.22,250.17
001.png,224,224,136.69,92.88,214.32
002.png,224,224,138.88,92.33,321.33
003.png,224,224,138.4,92.84,219.94
004.png,224,224,136.67,93.02,222.49
005.png,224,224,138.41,91.78,251.88
006.png,224,224,138.46,91.27,302.92
007.png,224,224,136.7,92.3,236.3
008.png,224,224,137.34,92.68,282.79
009.png,224,224,136.02,93.27,227.72
010.png,224,224,136.63,93.35,222.14
011.png,224,224,138.2,92.42,270.62
012.png,224,224,136.87,92.26,236.91
013.png,224,224,140.61,91.19,297.23
014.png,224,224,138.18,92.0,298.64
015.png,224,224,136.73,92.72,247.03
016.png,224,224,138.2,91.98,230.03
017.png,224,224,138.11,92.03,231.21
018.png,224,224,135.74,93.35,206.21
019.png,224,224,139.42,92.44,226.91
000.png,224,224,135.84,92.6,162.27
001.png,224,224,137.59,92.68,173.11
002.png,224,224,135.66,92.32,272.4
003.png,224,224,135.34,93.0,243.6
004.png,224,224,137.96,92.79,225.4
005.png,224,224,133.92,93.36,155.7
006.png,224,224,137.25,91.67,216.2
007.png,224,224,136.02,92.82,176.78
008.png,224,224,135.52,92.94,244.69
009.png,224,224,134.66,92.95,193.79
010.png,224,224,135.02,93.21,255.2
011.png,224,224,135.43,93.61,249.1
012.png,224,224,137.94,91.9,258.29
013.png,224,224,134.81,93.34,190.19
014.png,224,224,135.93,92.91,231.61
015.png,224,224,135.01,93.54,203.61
016.png,224,224,134.55,93.37,195.74
017.png,224,224,135.66,93.38,244.18
018.png,224,224,135.28,93.28,229.52
019.png,224,224,136.55,93.08,237.54
020.png,224,224,135.53,92.98,190.11
021.png,224,224,135.9,93.25,267.72
022.png,224,224,135.51,93.69,243.14
023.png,224,224,134.41,92.91,196.48
024.png,224,224,136.87,92.66,237.47
025.png,224,224,134.81,93.47,189.81
026.png,224,224,135.02,93.04,236.48
027.png,224,224,133.44,94.1,163.66
028.png,224,224,136.2,93.09,225.53
029.png,224,224,133.53,94.23,189.39
030.png,224,224,136.06,93.09,186.55
031.png,224,224,135.44,92.86,177.92
032.png,224,224,133.82,93.47,147.1
033.png,224,224,134.47,93.51,212.84
034.png,224,224,133.36,94.1,164.03
035.png,224,224,138.56,92.79,251.26
036.png,224,224,133.97,93.38,172.01
037.png,224,224,134.12,93.35,174.2
038.png,224,224,135.63,92.97,223.39
039.png,224,224,135.06,93.11,176.67
040.png,224,224,137.91,93.12,209.32
041.png,224,224,136.42,92.63,228.04
042.png,224,224,134.89,93.06,165.16
043.png,224,224,134.19,93.31,213.91
044.png,224,224,136.47,93.06,154.1
045.png,224,224,136.64,93.02,187.64
046.png,224,224,134.67,93.74,164.9
047.png,224,224,134.73,93.54,194.0
048.png,224,224,137.84,93.0,194.19
049.png,224,224,136.04,92.53,243.33
050.png,224,224,135.77,93.23,221.39
051.png,224,224,136.01,92.63,170.06
052.png,224,224,138.53,91.98,264.32
053.png,224,224,135.74,92.4,192.17
054.png,224,224,137.21,91.75,201.18
055.png,224,224,138.67,91.79,267.43
056.png,224,224,137.49,92.64,223.2
057.png,224,224,135.42,92.72,179.69
058.png,224,224,134.62,93.56,220.63
059.png,224,224,135.02,93.12,199.64
060.png,224,224,135.93,93.47,208.39
061.png,224,224,136.82,92.42,202.28
062.png,224,224,135.44,93.19,246.49
063.png,224,224,137.83,92.09,227.05
064.png,224,224,137.88,92.15,276.99
065.png,224,224,134.9,92.85,183.87
066.png,224,224,135.31,92.93,166.47
067.png,224,224,136.05,93.25,235.47
068.png,224,224,137.23,93.07,185.66
069.png,224,224,138.69,92.49,254.81
070.png,224,224,138.2,92.56,238.5
071.png,224,224,135.99,93.1,215.37
072.png,224,224,136.15,92.38,207.22
073.png,224,224,133.58,93.98,179.22
074.png,224,224,135.46,92.54,187.89
075.png,224,224,135.35,92.7,189.7
076.png,224,224,135.0,92.73,191.07
077.png,224,224,134.96,93.09,190.61
078.png,224,224,135.9,93.2,229.82
079.png,224,224,133.7,93.36,183.62
080.png,224,224,137.4,93.07,193.35
081.png,224,224,134.21,94.02,162.33
082.png,224,224,134.7,92.73,181.95
083.png,224,224,138.25,92.59,244.32
084.png,224,224,135.95,92.34,190.13
085.png,224,224,135.79,92.89,212.61
086.png,224,224,135.7,92.75,218.38
087.png,224,224,137.02,92.56,200.94
088.png,224,224,136.15,92.14,336.65
089.png,224,224,136.02,92.1,163.94
090.png,224,224,137.44,92.7,236.46
091.png,224,224,137.11,93.21,194.47
092.png,224,224,135.76,92.5,224.91
093.png,224,224,135.0,93.04,203.13
094.png,224,224,134.36,93.24,191.56
095.png,224,224,137.87,92.7,209.11
096.png,224,224,137.45,92.91,192.05
097.png,224,224,135.42,92.52,185.18
098.png,224,224,134.08,93.03,171.09
099.png,224,224,136.31,92.08,281.73
100.png,224,224,134.73,93.18,208.54
101.png,224,224,135.55,92.75,235.54
102.png,224,224,136.83,92.21,207.48
103.png,224,224,136.56,92.5,214.18
104.png,224,224,136.15,93.31,249.94
105.png,224,224,135.63,93.13,229.72
106.png,224,224,134.61,92.82,193.31
107.png,224,224,136.16,92.6,196.82
108.png,224,224,136.13,92.5,224.02
109.png,224,224,135.48,92.59,208.46
110.png,224,224,137.49,92.88,183.5
111.png,224,224,135.43,93.28,188.2
112.png,224,224,135.59,92.88,224.67
113.png,224,224,137.59,92.6,164.41
114.png,224,224,135.45,92.57,197.41
115.png,224,224,134.32,93.07,173.39
116.png,224,224,136.01,92.4,228.57
117.png,224,224,138.09,92.77,209.39
118.png,224,224,137.2,92.38,226.32
119.png,224,224,136.1,92.29,178.84
120.png,224,224,137.61,92.79,189.74
121.png,224,224,136.56,92.6,267.5
122.png,224,224,135.9,92.63,251.83
123.png,224,224,135.96,93.29,276.49
124.png,224,224,138.05,92.38,241.45
125.png,224,224,135.83,93.08,240.04
126.png,224,224,135.06,93.19,207.07
127.png,224,224,137.55,92.99,206.15
128.png,224,224,136.73,92.2,246.01
129.png,224,224,135.2,93.0,206.16
130.png,224,224,137.62,92.97,228.09
131.png,224,224,134.69,93.81,219.18
132.png,224,224,136.47,92.85,205.91
133.png,224,224,136.53,92.6,244.01
134.png,224,224,133.89,93.94,179.39
135.png,224,224,134.64,93.82,213.07
136.png,224,224,135.57,93.36,246.94
137.png,224,224,135.79,92.83,196.26
138.png,224,224,134.92,93.08,237.42
139.png,224,224,134.95,93.29,203.14
140.png,224,224,136.82,93.01,193.26
141.png,224,224,136.42,92.33,162.37
142.png,224,224,135.92,92.49,256.06
143.png,224,224,137.61,93.25,205.63
144.png,224,224,138.22,91.12,344.55
145.png,224,224,137.88,92.01,244.76
146.png,224,224,138.06,92.75,225.81
147.png,224,224,139.07,92.42,245.67
148.png,224,224,134.86,93.79,192.25
149.png,224,224,136.68,92.66,235.14
150.png,224,224,135.73,93.5,249.67
151.png,224,224,135.78,92.64,249.53
152.png,224,224,135.66,92.7,210.71
153.png,224,224,137.12,91.46,301.38
154.png,224,224,135.44,92.98,239.79
155.png,224,224,137.22,92.11,262.87
156.png,224,224,135.32,93.63,226.91
157.png,224,224,138.61,92.58,224.56
158.png,224,224,135.51,93.48,236.82
159.png,224,224,138.55,92.76,218.25
160.png,224,224,139.53,92.33,251.68
161.png,224,224,136.8,92.77,234.95
162.png,224,224,139.41,92.7,273.54
163.png,224,224,139.18,91.94,301.8
164.png,224,224,136.03,93.27,252.85
165.png,224,224,136.35,93.01,261.41
166.png,224,224,136.44,92.19,244.52
167.png,224,224,136.32,92.7,225.14
168.png,224,224,136.16,93.05,231.55
169.png,224,224,136.21,92.56,247.52
170.png,224,224,136.37,92.47,285.85
171.png,224,224,135.9,93.13,240.07
172.png,224,224,137.93,92.69,207.43
173.png,224,224,137.29,92.49,260.38
174.png,224,224,137.26,92.6,293.65
175.png,224,224,137.57,92.17,245.53
176.png,224,224,136.94,92.37,236.12
177.png,224,224,135.57,92.99,202.78
178.png,224,224,138.8,92.62,215.69
179.png,224,224,137.0,92.69,236.46
180.png,224,224,136.35,93.09,265.22
181.png,224,224,137.67,91.72,255.76
182.png,224,224,136.85,92.38,270.39
183.png,224,224,137.01,92.38,226.6
184.png,224,224,138.42,92.01,308.86
185.png,224,224,137.75,92.32,262.12
186.png,224,224,138.92,92.02,313.4
187.png,224,224,137.11,92.35,241.89
188.png,224,224,136.92,92.52,225.56
189.png,224,224,137.85,92.12,220.2
190.png,224,224,136.63,92.97,247.37
191.png,224,224,139.47,92.2,220.55
192.png,224,224,137.44,92.92,286.07
193.png,224,224,137.45,92.44,285.4
194.png,224,224,139.2,92.29,224.19
195.png,224,224,139.48,91.34,317.59
196.png,224,224,136.62,92.53,301.54
197.png,224,224,136.4,93.33,251.04
198.png,224,224,137.7,92.72,210.16
199.png,224,224,136.65,92.6,251.58
200.png,224,224,138.22,91.88,284.59
201.png,224,224,134.19,93.76,180.0
202.png,224,224,136.51,93.35,308.22
203.png,224,224,137.9,93.01,299.37
204.png,224,224,138.46,92.84,223.05
205.png,224,224,137.78,92.27,283.32
206.png,224,224,136.38,92.98,216.99
207.png,224,224,138.88,91.91,285.26
208.png,224,224,136.65,92.58,219.22
