Product_ID,Defect_Type,Size_Score,Location_Score,Type_Score,Confidence_Score,Severity_Score,Severity_Level,Recommended_Action,Image_Path
PROD_1000,Surface Scratch,29,81,26,78,51.1,Medium,Inspection Review Required,PROD_1000.png
PROD_1001,Surface Crack,89,97,78,99,90.2,Critical,Reject Product & Trigger Quality Inspection Workflow,PROD_1001.png
PROD_1002,Missing Component,36,62,86,83,64.4,High,Repair / Rework Recommended,PROD_1002.png
PROD_1003,Blister,52,11,45,71,43.8,Medium,Inspection Review Required,PROD_1003.png
PROD_1004,Missing Component,63,68,94,87,76.8,High,Repair / Rework Recommended,PROD_1004.png
PROD_1005,Contamination,29,71,69,62,56.1,Medium,Inspection Review Required,PROD_1005.png
PROD_1006,Contamination,21,30,63,98,49.2,Medium,Inspection Review Required,PROD_1006.png
PROD_1007,Surface Crack,74,23,92,68,64.6,High,Repair / Rework Recommended,PROD_1007.png
PROD_1008,Surface Crack,16,93,89,66,63.5,High,Repair / Rework Recommended,PROD_1008.png
PROD_1009,Missing Component,22,56,87,73,57.0,Medium,Inspection Review Required,PROD_1009.png
PROD_1010,Surface Scratch,64,13,21,65,40.7,Medium,Inspection Review Required,PROD_1010.png
PROD_1011,Surface Crack,18,63,92,85,61.2,High,Repair / Rework Recommended,PROD_1011.png
PROD_1012,Surface Scratch,88,71,23,73,64.5,High,Repair / Rework Recommended,PROD_1012.png
PROD_1013,Missing Component,29,81,98,82,69.9,High,Repair / Rework Recommended,PROD_1013.png
PROD_1014,Surface Scratch,76,49,35,77,59.2,Medium,Inspection Review Required,PROD_1014.png
PROD_1015,Surface Scratch,38,35,32,88,45.8,Medium,Inspection Review Required,PROD_1015.png
PROD_1016,Blister,79,98,51,68,74.6,High,Repair / Rework Recommended,PROD_1016.png
PROD_1017,Blister,22,97,55,76,59.8,Medium,Inspection Review Required,PROD_1017.png
PROD_1018,Missing Component,49,42,89,98,67.1,High,Repair / Rework Recommended,PROD_1018.png
PROD_1019,Missing Component,42,16,93,67,53.2,Medium,Inspection Review Required,PROD_1019.png
PROD_1020,Surface Scratch,47,57,24,94,53.2,Medium,Inspection Review Required,PROD_1020.png
PROD_1021,Surface Scratch,49,74,22,96,57.9,Medium,Inspection Review Required,PROD_1021.png
PROD_1022,Contamination,17,10,59,85,39.4,Low,Product Acceptable,PROD_1022.png
PROD_1023,Surface Crack,28,36,83,74,53.0,Medium,Inspection Review Required,PROD_1023.png
PROD_1024,Surface Scratch,56,86,38,91,66.0,High,Repair / Rework Recommended,PROD_1024.png
PROD_1025,Missing Component,66,13,89,82,61.7,High,Repair / Rework Recommended,PROD_1025.png
PROD_1026,Missing Component,29,52,88,72,58.1,Medium,Inspection Review Required,PROD_1026.png
PROD_1027,Surface Crack,73,95,76,65,77.6,High,Repair / Rework Recommended,PROD_1027.png
PROD_1028,Surface Scratch,58,93,30,87,65.6,High,Repair / Rework Recommended,PROD_1028.png
PROD_1029,Surface Scratch,76,10,39,72,49.4,Medium,Inspection Review Required,PROD_1029.png
PROD_1030,Contamination,84,81,63,96,80.4,Critical,Reject Product & Trigger Quality Inspection Workflow,PROD_1030.png
PROD_1031,Missing Component,58,33,99,91,68.6,High,Repair / Rework Recommended,PROD_1031.png
PROD_1032,Surface Scratch,66,71,36,71,60.8,High,Repair / Rework Recommended,PROD_1032.png
PROD_1033,Surface Scratch,16,12,36,96,36.0,Low,Product Acceptable,PROD_1033.png
PROD_1034,Surface Scratch,95,68,36,61,66.7,High,Repair / Rework Recommended,PROD_1034.png
PROD_1035,Surface Scratch,68,96,24,91,68.6,High,Repair / Rework Recommended,PROD_1035.png
PROD_1036,Contamination,33,11,66,85,46.2,Medium,Inspection Review Required,PROD_1036.png
PROD_1037,Contamination,46,77,65,76,64.5,High,Repair / Rework Recommended,PROD_1037.png
PROD_1038,Missing Component,38,78,100,93,74.5,High,Repair / Rework Recommended,PROD_1038.png
PROD_1039,Missing Component,25,25,85,68,48.6,Medium,Inspection Review Required,PROD_1039.png
PROD_1040,Surface Scratch,84,89,22,79,68.8,High,Repair / Rework Recommended,PROD_1040.png
PROD_1041,Surface Scratch,50,28,22,78,43.1,Medium,Inspection Review Required,PROD_1041.png
PROD_1042,Surface Scratch,85,61,28,92,66.2,High,Repair / Rework Recommended,PROD_1042.png
PROD_1043,Surface Scratch,53,91,27,60,57.4,Medium,Inspection Review Required,PROD_1043.png
PROD_1044,Missing Component,71,98,100,82,87.2,Critical,Reject Product & Trigger Quality Inspection Workflow,PROD_1044.png
PROD_1045,Surface Scratch,56,16,35,85,46.6,Medium,Inspection Review Required,PROD_1045.png
PROD_1046,Contamination,74,11,55,71,52.9,Medium,Inspection Review Required,PROD_1046.png
PROD_1047,Surface Scratch,46,18,28,94,44.1,Medium,Inspection Review Required,PROD_1047.png
PROD_1048,Missing Component,94,12,100,83,72.8,High,Repair / Rework Recommended,PROD_1048.png
PROD_1049,Surface Scratch,47,33,39,70,46.1,Medium,Inspection Review Required,PROD_1049.png
PROD_1050,Contamination,50,47,62,79,58.0,Medium,Inspection Review Required,PROD_1050.png
PROD_1051,Surface Scratch,39,27,33,77,42.1,Medium,Inspection Review Required,PROD_1051.png
PROD_1052,Surface Scratch,49,89,28,95,63.0,High,Repair / Rework Recommended,PROD_1052.png
PROD_1053,Missing Component,47,23,100,79,60.6,High,Repair / Rework Recommended,PROD_1053.png
PROD_1054,Surface Scratch,22,16,22,76,31.3,Low,Product Acceptable,PROD_1054.png
PROD_1055,Surface Scratch,62,85,38,81,65.6,High,Repair / Rework Recommended,PROD_1055.png
PROD_1056,Surface Scratch,44,47,25,67,44.6,Medium,Inspection Review Required,PROD_1056.png
PROD_1057,Missing Component,35,39,85,87,58.9,Medium,Inspection Review Required,PROD_1057.png
PROD_1058,Missing Component,83,70,100,78,83.0,Critical,Reject Product & Trigger Quality Inspection Workflow,PROD_1058.png
PROD_1059,Surface Scratch,78,58,36,87,64.3,High,Repair / Rework Recommended,PROD_1059.png
PROD_1060,Surface Scratch,60,15,22,96,46.4,Medium,Inspection Review Required,PROD_1060.png
PROD_1061,Contamination,60,62,57,92,66.2,High,Repair / Rework Recommended,PROD_1061.png
PROD_1062,Surface Crack,99,41,75,62,71.1,High,Repair / Rework Recommended,PROD_1062.png
PROD_1063,Surface Crack,39,63,77,99,66.5,High,Repair / Rework Recommended,PROD_1063.png
PROD_1064,Surface Crack,46,56,76,86,64.0,High,Repair / Rework Recommended,PROD_1064.png
PROD_1065,Surface Scratch,31,42,28,98,46.4,Medium,Inspection Review Required,PROD_1065.png
PROD_1066,Surface Scratch,40,59,32,66,48.0,Medium,Inspection Review Required,PROD_1066.png
PROD_1067,Surface Scratch,59,29,20,67,43.4,Medium,Inspection Review Required,PROD_1067.png
PROD_1068,Missing Component,30,23,96,82,55.2,Medium,Inspection Review Required,PROD_1068.png
