epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4149.24,0.938,1.45533,0.92688,0.37473,0.46107,0.32711,0.17222,0.67858,10.2764,0.7262,0.000175243,0.000175243,0.000175243
2,8063.48,0.95347,1.50433,0.94496,0.43615,0.42519,0.33734,0.17372,0.66588,4.63649,0.71028,0.000339007,0.000339007,0.000339007
3,12326.1,1.0088,1.56681,0.9746,0.4105,0.38664,0.29179,0.14172,0.73533,2.40255,0.7452,0.0004912,0.0004912,0.0004912
4,16645.6,1.02734,1.63695,1.00609,0.49201,0.40388,0.29566,0.14703,0.67634,6.73016,0.70826,0.000473926,0.000473926,0.000473926
5,20733.9,0.97307,1.51021,0.94375,0.4385,0.35147,0.28877,0.15095,0.66889,3.99861,0.69244,0.000456568,0.000456568,0.000456568
6,24671.1,0.98533,1.52606,0.96395,0.41296,0.42865,0.29607,0.15492,0.66895,8.15372,0.70345,0.00043921,0.00043921,0.00043921
7,28559.6,0.99635,1.47515,0.96897,0.33222,0.48484,0.30089,0.15286,0.69134,10.2265,0.71086,0.000421852,0.000421852,0.000421852
8,32439.7,0.98305,1.42762,0.95375,0.42345,0.46314,0.35302,0.17427,0.70742,5.17621,0.7292,0.000404494,0.000404494,0.000404494
9,36361.8,0.98759,1.39747,0.95683,0.48297,0.41642,0.32973,0.17418,0.65292,6.78521,0.68726,0.000387136,0.000387136,0.000387136
10,40253.1,1.00194,1.41559,0.97482,0.33842,0.53728,0.36624,0.18859,0.67822,3.95393,0.69722,0.000369778,0.000369778,0.000369778
11,44180.7,0.91807,1.30039,0.90019,0.42757,0.47554,0.33508,0.17395,0.67273,6.44905,0.69603,0.00035242,0.00035242,0.00035242
12,48292,0.95795,1.30611,0.94865,0.46779,0.47593,0.34473,0.18136,0.67411,5.60276,0.70082,0.000335062,0.000335062,0.000335062
13,52183.2,0.91468,1.29944,0.91195,0.50308,0.44064,0.40339,0.21976,0.62037,3.67949,0.65364,0.000317704,0.000317704,0.000317704
14,56062.9,0.88137,1.23546,0.88806,0.44752,0.46055,0.40018,0.2105,0.64278,4.07272,0.67948,0.000300346,0.000300346,0.000300346
15,59974.4,0.96279,1.27159,0.94896,0.45487,0.50003,0.39232,0.2139,0.63934,6.32945,0.66039,0.000282988,0.000282988,0.000282988
16,63857.1,0.92336,1.26832,0.91962,0.30902,0.59359,0.38484,0.2079,0.62503,6.39647,0.655,0.00026563,0.00026563,0.00026563
17,67779.3,0.89001,1.19452,0.90167,0.4361,0.54497,0.40941,0.22745,0.61668,3.44362,0.64352,0.000248272,0.000248272,0.000248272
18,71668,0.8647,1.1421,0.87648,0.42342,0.53196,0.39539,0.2178,0.60051,5.04962,0.64438,0.000230914,0.000230914,0.000230914
19,75552.2,0.89263,1.13048,0.89466,0.42776,0.52707,0.42329,0.22621,0.60855,3.84849,0.64421,0.000213556,0.000213556,0.000213556
20,79505.7,0.85892,1.08478,0.86524,0.41043,0.56659,0.41939,0.2269,0.59885,3.12945,0.63314,0.000196198,0.000196198,0.000196198
21,83368.6,0.64199,0.76379,0.67019,0.42516,0.49601,0.39396,0.22201,0.6143,3.49398,0.64973,0.00017884,0.00017884,0.00017884
22,88119.2,0.62416,0.7099,0.65727,0.35905,0.603,0.39935,0.22998,0.6158,4.48947,0.64951,0.000161482,0.000161482,0.000161482
23,92832.3,0.62066,0.69952,0.65266,0.3859,0.54253,0.37199,0.20619,0.63103,4.10171,0.66135,0.000144124,0.000144124,0.000144124
24,96767.5,0.6122,0.66138,0.64871,0.40813,0.5535,0.38444,0.21225,0.62381,4.48279,0.66248,0.000126766,0.000126766,0.000126766
25,101456,0.58891,0.65015,0.63504,0.39934,0.5503,0.38983,0.22113,0.63161,5.00945,0.67502,0.000109408,0.000109408,0.000109408
26,106130,0.56329,0.61748,0.60296,0.39001,0.54685,0.37886,0.21496,0.61741,4.82815,0.6558,9.205e-05,9.205e-05,9.205e-05
27,110207,0.58097,0.62199,0.62888,0.38921,0.56662,0.38906,0.21923,0.61602,4.14021,0.65669,7.4692e-05,7.4692e-05,7.4692e-05
28,114161,0.57086,0.59699,0.61892,0.36585,0.5746,0.38818,0.21599,0.61619,4.22874,0.65607,5.7334e-05,5.7334e-05,5.7334e-05
29,117976,0.55558,0.5789,0.61041,0.4351,0.53804,0.40479,0.22493,0.61986,4.05625,0.65721,3.9976e-05,3.9976e-05,3.9976e-05
30,121784,0.55598,0.57863,0.60511,0.3974,0.54925,0.39783,0.2245,0.61656,3.8126,0.65127,2.2618e-05,2.2618e-05,2.2618e-05
