epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2962.85,1.21644,8.00845,1.02645,0.00056,0.12774,0.0003,7e-05,0.77527,15.2962,0.67554,0.000175243,0.000175243,0.000175243
2,5837.18,1.25818,7.4736,1.04877,0.90987,0.01167,0.01569,0.00637,0.81917,13.9441,0.7298,0.000343635,0.000343635,0.000343635
3,8701.12,1.34924,6.89327,1.09652,0.8102,0.01667,0.00825,0.00366,0.87067,12.3721,0.76227,0.000505084,0.000505084,0.000505084
4,11565.5,1.35195,6.09764,1.11517,0.02061,0.15287,0.01756,0.00693,0.91036,10.2105,0.78503,0.000494756,0.000494756,0.000494756
5,14540.2,1.28314,5.23431,1.05846,0.58201,0.08986,0.04515,0.01422,0.86902,8.51481,0.76766,0.000484341,0.000484341,0.000484341
6,17409.5,1.27154,4.48547,1.0413,0.44249,0.04687,0.03667,0.0164,0.82288,7.10474,0.73044,0.000473926,0.000473926,0.000473926
7,20268,1.25795,3.93437,1.04422,0.58453,0.07272,0.0599,0.02315,0.82785,5.38075,0.72473,0.000463511,0.000463511,0.000463511
8,23123,1.20879,3.54768,1.0168,0.38281,0.18405,0.08475,0.03768,0.80983,8.12449,0.79772,0.000453096,0.000453096,0.000453096
9,25989.5,1.22719,3.22364,1.03993,0.30249,0.26114,0.10782,0.04914,0.80115,4.22742,0.73272,0.000442682,0.000442682,0.000442682
10,28851.7,1.23903,3.03047,1.05383,0.47486,0.17512,0.12368,0.06094,0.76118,5.37127,0.70453,0.000432267,0.000432267,0.000432267
11,31722.3,1.11293,2.74312,0.969,0.663,0.23253,0.1809,0.09016,0.73063,3.35819,0.6744,0.000421852,0.000421852,0.000421852
12,34559.4,1.15289,2.62788,0.99036,0.54047,0.21039,0.13722,0.0707,0.74502,4.01139,0.69537,0.000411437,0.000411437,0.000411437
13,37307.2,1.13632,2.50784,0.98751,0.57625,0.26427,0.19688,0.09885,0.71686,7.24754,0.68138,0.000401022,0.000401022,0.000401022
14,40025.4,1.07924,2.31438,0.95123,0.48262,0.29631,0.1938,0.08894,0.75377,5.27483,0.70794,0.000390608,0.000390608,0.000390608
15,42717.7,1.16133,2.32173,1.00126,0.33253,0.36808,0.19725,0.09213,0.72758,7.62641,0.69003,0.000380193,0.000380193,0.000380193
16,45374.6,1.13003,2.26438,0.97841,0.44827,0.27865,0.20753,0.10583,0.7242,133.936,0.70231,0.000369778,0.000369778,0.000369778
17,48084.8,1.08487,2.16598,0.96244,0.48447,0.25244,0.23187,0.11646,0.70903,6.55152,0.66914,0.000359363,0.000359363,0.000359363
18,50742.8,1.06478,2.02119,0.93605,0.54252,0.29742,0.24523,0.12118,0.69022,6.31759,0.67518,0.000348948,0.000348948,0.000348948
19,53452,1.08706,1.95026,0.94214,0.39803,0.37163,0.25557,0.12785,0.68697,19.405,0.66474,0.000338534,0.000338534,0.000338534
20,56149.7,1.07408,1.94008,0.93916,0.39102,0.39873,0.26022,0.12806,0.68364,12.5355,0.64429,0.000328119,0.000328119,0.000328119
21,58847.3,1.03151,1.79066,0.90826,0.40692,0.42316,0.30038,0.15223,0.69878,5.59313,0.67153,0.000317704,0.000317704,0.000317704
22,61548.4,1.08326,1.84609,0.95234,0.39185,0.34991,0.26511,0.13681,0.67116,8.17762,0.65233,0.000307289,0.000307289,0.000307289
23,64303.9,1.00585,1.74069,0.89019,0.44983,0.36124,0.26709,0.13656,0.65244,6.14227,0.63081,0.000296874,0.000296874,0.000296874
24,67095.5,1.00819,1.69477,0.91207,0.46519,0.40348,0.29246,0.15899,0.63123,6.52525,0.60896,0.00028646,0.00028646,0.00028646
25,70343.6,0.99158,1.65627,0.89421,0.4984,0.40296,0.3194,0.16595,0.64641,12.9481,0.61568,0.000276045,0.000276045,0.000276045
26,73574.2,1.03677,1.67978,0.92538,0.42228,0.43224,0.29205,0.15388,0.64967,8.07561,0.63053,0.00026563,0.00026563,0.00026563
27,76333.1,0.99692,1.62237,0.89273,0.5217,0.40091,0.32688,0.1773,0.63323,6.54009,0.61397,0.000255215,0.000255215,0.000255215
28,79027.5,0.98564,1.52364,0.88551,0.44092,0.42479,0.3378,0.18795,0.64068,8.36224,0.61743,0.0002448,0.0002448,0.0002448
29,81735,1.00402,1.50725,0.88695,0.36293,0.49029,0.33512,0.17891,0.64225,6.28909,0.61793,0.000234386,0.000234386,0.000234386
30,84451.5,0.96856,1.4645,0.87094,0.42256,0.48036,0.33704,0.18262,0.64878,6.47318,0.62181,0.000223971,0.000223971,0.000223971
31,87164.4,0.96939,1.47778,0.8902,0.42134,0.51858,0.35656,0.18465,0.62729,8.10344,0.61051,0.000213556,0.000213556,0.000213556
32,89869.4,0.94381,1.45044,0.87933,0.46042,0.49601,0.33644,0.17995,0.61504,7.53665,0.61052,0.000203141,0.000203141,0.000203141
33,92559.7,0.95177,1.40312,0.86164,0.50269,0.47875,0.37284,0.20194,0.60472,4.29201,0.58434,0.000192726,0.000192726,0.000192726
34,95253,0.94161,1.38246,0.85514,0.46242,0.47986,0.34946,0.18598,0.61573,9.20321,0.59339,0.000182312,0.000182312,0.000182312
35,97946.6,0.96941,1.36149,0.85634,0.43862,0.45608,0.34936,0.18375,0.63063,7.68992,0.60217,0.000171897,0.000171897,0.000171897
36,100631,0.91419,1.28522,0.84432,0.43846,0.51824,0.37825,0.2023,0.60588,11.1489,0.60164,0.000161482,0.000161482,0.000161482
37,103330,0.93108,1.31471,0.85785,0.46095,0.50652,0.37995,0.20766,0.59904,5.14263,0.5856,0.000151067,0.000151067,0.000151067
38,106025,0.90485,1.28805,0.83068,0.45863,0.54676,0.39326,0.21112,0.59636,5.58974,0.58156,0.000140652,0.000140652,0.000140652
39,108791,0.92827,1.25364,0.85888,0.45677,0.5226,0.371,0.19629,0.59414,6.61526,0.58778,0.000130238,0.000130238,0.000130238
40,111476,0.87822,1.24319,0.80623,0.32076,0.5607,0.36828,0.19763,0.60779,7.69432,0.59275,0.000119823,0.000119823,0.000119823
41,114121,0.67266,0.92722,0.64209,0.31255,0.5491,0.34768,0.18894,0.61351,5.81042,0.60203,0.000109408,0.000109408,0.000109408
42,116765,0.65254,0.87746,0.63118,0.38775,0.48079,0.36256,0.19384,0.62043,5.29455,0.60706,9.89932e-05,9.89932e-05,9.89932e-05
43,119406,0.63073,0.84369,0.60429,0.41613,0.48217,0.36008,0.19879,0.61714,5.55808,0.60984,8.85784e-05,8.85784e-05,8.85784e-05
44,122057,0.63863,0.81933,0.62244,0.32132,0.55393,0.34222,0.18799,0.61045,5.12882,0.59578,7.81636e-05,7.81636e-05,7.81636e-05
45,124729,0.63946,0.81751,0.62262,0.37437,0.52683,0.37511,0.2104,0.59967,6.15001,0.59221,6.77488e-05,6.77488e-05,6.77488e-05
46,127375,0.63389,0.79554,0.61482,0.36421,0.50237,0.35976,0.20156,0.61248,6.0497,0.59781,5.7334e-05,5.7334e-05,5.7334e-05
47,130015,0.60464,0.76167,0.59242,0.31318,0.56718,0.36245,0.20723,0.60489,5.88135,0.5925,4.69192e-05,4.69192e-05,4.69192e-05
48,132695,0.61261,0.76203,0.60465,0.2865,0.58853,0.35412,0.20004,0.61103,5.77782,0.59528,3.65044e-05,3.65044e-05,3.65044e-05
49,135340,0.60863,0.74197,0.5941,0.39736,0.49901,0.35731,0.20035,0.615,5.27593,0.5951,2.60896e-05,2.60896e-05,2.60896e-05
50,138048,0.60494,0.7396,0.60194,0.30528,0.57377,0.34813,0.19585,0.6202,5.62192,0.60063,1.56748e-05,1.56748e-05,1.56748e-05
